#{"t_start": 1662329308.1141858, "env_id": null}
r,l,t
-10639.939529,115,26.702031
-6699.685948,74,26.748914
-9899.636712,106,26.806725
-6399.70128,71,26.842626
-16099.8812,168,26.935382
-13099.998328,138,27.012175
-5199.65418,59,27.041097
-9499.750072,102,27.09196
-9299.674584,100,27.137837
-6499.778392,72,27.176735
-11799.827836,125,27.352671
-7399.696528,81,27.500279
-3499.84852,42,27.571087
-1899.835284,26,27.612975
-5099.837424,58,27.702736
-5799.840736,65,27.807458
-13799.74482,145,28.040834
-11199.700592,119,28.216362
-7599.880456,83,28.345018
-5499.87088,62,28.437773
-7099.700084,78,28.575402
-3999.657408,47,28.660177
-5899.6857,66,28.758912
-3399.546092,41,28.850667
-4599.82436,53,28.95539
-22399.817728,231,29.29548
-7799.699636,85,29.422139
-4899.595776,56,29.502923
-3899.787092,46,29.570743
-8499.628432,92,29.725328
-2999.829244,37,29.784172
-2099.82438,28,29.839024
-4199.855364,49,29.930779
-2999.757108,37,29.980686
-2399.703568,31,30.023569
-4599.674228,53,30.130245
-2699.944708,34,30.187094
-7199.69392,79,30.337691
-1499.819776,22,30.383569
-1499.785456,22,30.411496
-3699.848396,44,30.48031
-3799.729668,45,30.568076
-2299.8714,30,30.630907
-2099.597276,28,30.678779
-3399.841228,41,30.756571
-4199.719636,49,30.856305
-7899.887728,86,30.999921
-1999.820092,27,31.058763
-4699.790288,54,31.147529
-4799.820516,55,31.23928
-9299.755064,100,31.405836
-6999.688944,77,31.504571
-5299.641228,60,31.594332
-1799.78806,25,31.638216
-1999.738152,27,31.698054
-6342.937519,72,31.806764
-2599.72842,33,31.850647
-3099.695316,38,31.932431
-2699.71972,34,31.994262
-4299.782984,50,32.066071
-2299.849208,30,32.120924
-1999.584516,27,32.166801
-2999.728964,37,32.259554
-3699.666516,44,32.327372
-2099.82092,28,32.366268
-4999.661508,57,32.468994
-2899.703664,36,32.534819
-1899.674544,26,32.567729
-2399.83574,31,32.612612
-4899.474912,56,32.719349
-2899.81324,36,32.796128
-3599.693104,43,32.875907
-4999.716708,57,32.955694
-1799.956084,25,33.005563
-5099.844632,58,33.115266
-3199.80786,39,33.175106
-1499.88206,22,33.21201
-1899.62388,26,33.255904
-1899.726624,26,33.305758
-2999.719584,37,33.363602
-2499.730988,32,33.421447
-4399.545464,51,33.507218
-2899.772228,36,33.568055
-2699.900224,34,33.628892
-3599.647004,43,33.703692
-6199.538068,69,33.822375
-2299.78506,30,33.878226
-2999.831544,37,33.937069
-6999.717764,77,34.070713
-799.657956,15,34.098637
-3299.746704,40,34.169455
-3199.704004,39,34.229331
-8699.772816,94,34.400829
-2999.876464,37,34.475629
-5299.735848,60,34.559407
-2099.853232,28,34.59631
-8499.836456,92,34.770843
-5199.757696,59,34.861597
-3399.665748,41,34.936406
-7499.567384,82,35.067048
-4399.636108,51,35.150824
-2599.894488,33,35.201688
-2799.764368,35,35.262526
-1999.872048,26,35.3094
-4599.658024,53,35.409155
-1299.605832,20,35.439056
-3099.71,38,35.500889
-12099.639712,128,35.719304
-2199.600808,29,35.762189
-2399.592828,31,35.809064
-3099.703536,38,35.85993
-3799.750812,45,35.93772
-4999.778264,57,36.026483
-3299.806908,40,36.091309
-3199.626936,39,36.162123
-1799.741224,25,36.207
-3699.624392,44,36.271826
-2699.664524,34,36.327678
-3499.701608,42,36.399486
-2799.828844,35,36.465317
-2199.627252,29,36.522157
-8099.59246,88,36.683726
-3799.727872,45,36.773486
-1799.789092,25,36.809392
-5899.74522,66,36.922092
-4899.632656,56,37.024815
-3699.787676,44,37.097621
-1999.6728,27,37.141506
-2199.826212,29,37.193366
-5399.950224,61,37.307059
-5899.7372,66,37.427738
-2399.80488,31,37.485582
-6299.756984,70,37.588307
-4799.70666,55,37.692031
-2099.744708,28,37.746883
-2799.662344,35,37.810714
-3699.7227,44,37.90546
-3999.721788,47,37.977267
-3999.69532,47,38.057055
-3999.876096,47,38.124874
-6799.719388,75,38.226601
-4999.797188,57,38.304397
-5199.812436,58,38.403129
-3799.814564,45,38.479924
-3299.677912,40,38.547751
-5299.615904,60,38.648474
-7699.582696,84,38.781118
-5599.699096,63,38.879855
-4299.866156,50,38.964628
-5399.733324,61,39.084308
-5399.754996,61,39.192021
-2399.68102,31,39.242884
-1399.81056,21,39.284785
-1799.80416,25,39.338628
-4199.676148,48,39.429385
-8899.725176,96,39.589956
-2199.70442,29,39.629849
-799.75376,15,39.651791
-8999.677392,97,39.78643
-3242.867295,41,39.856246
-3499.814428,42,39.936032
-2899.657996,36,39.999862
-2399.57262,31,40.042746
-4299.545548,50,40.124534
-5399.59274,61,40.219274
-4599.621892,53,40.305044
-3999.606384,47,40.387823
-1999.809344,27,40.430709
