#{"t_start": 1667235499.4108922, "env_id": null}
r,l,t
-237.0,32,431.875145
-220.0,30,432.079064
-230.0,31,432.294417
-110.0,19,432.417525
-90.0,17,432.538982
-108.0,19,432.690785
-250.0,33,432.947915
-94.166667,18,433.089904
-210.0,29,433.308372
-120.0,20,433.460256
-169.583333,25,433.649209
-177.333333,26,433.840879
-190.0,27,434.037894
-230.0,31,434.264435
-130.0,21,434.413263
-180.0,26,434.596668
-269.25,35,434.841713
-73.416667,14,434.939355
-230.0,31,435.156358
-270.0,35,435.398025
-80.0,16,435.509191
-200.0,28,435.708362
-170.0,25,435.88192
-200.0,28,436.07911
-230.0,31,436.288092
-140.0,22,436.436057
-148.75,23,436.597117
-200.0,28,436.79106
-200.0,28,436.979351
-200.0,28,437.168415
-310.0,39,437.436378
-140.0,22,437.588117
-100.0,18,437.716398
-252.833333,34,437.953592
-102.0,18,438.077922
-215.0,30,438.289483
-200.0,28,438.478056
-104.833333,19,438.616672
-194.583333,28,438.82159
-132.25,22,438.97393
-226.0,31,439.184915
-318.0,40,439.451747
-238.0,32,439.669992
-382.75,47,440.000789
-425.75,51,440.340205
-974.0,106,441.053795
-871.666667,96,441.70107
-103.583333,17,441.821099
-1283.75,136,442.738985
-1423.0,149,443.7493
-472.0,56,444.134407
-544.583333,63,444.56439
-536.666667,62,444.986674
-3143.333333,323,447.199849
-722.0,80,447.745432
-632.333333,72,448.237621
-143.5,21,448.381497
-994.833333,108,449.109257
-864.416667,95,449.75909
-512.333333,60,450.170132
-1095.5,118,450.974879
-2953.75,304,453.173876
-1485.666667,157,454.231699
-2805.666667,289,456.171413
-1996.583333,207,457.580384
-2076.833333,215,459.017989
-1966.583333,203,460.385578
-3686.5,376,462.887421
-3447.5,351,465.3062
-2117.916667,217,466.79556
-3015.666667,308,468.883387
-4457.833333,452,471.966482
-2187.0,226,473.53339
-1875.416667,195,474.843234
-726.416667,80,475.392347
-2746.25,283,477.325608
-3967.166667,403,480.056935
-5227.083333,530,483.589298
-1757.166667,183,484.839154
-3217.166667,328,487.136328
-1326.583333,141,488.074299
-3514.833333,360,490.470338
-565.416667,65,490.924139
-1164.833333,125,491.751781
-1885.083333,197,493.072802
-1073.833333,116,493.911366
-2976.75,306,496.106947
-3778.0,383,498.684551
-3244.25,333,500.96007
-184.916667,27,501.14417
-434.75,52,501.506867
-285.416667,37,501.759439
-175.0,26,501.941993
-105.25,19,502.077712
-534.5,62,502.502069
-114.416667,20,502.637903
-645.083333,73,503.153266
-764.333333,85,503.720432
-1084.583333,117,504.512931
-2074.916667,216,505.983989
-1806.916667,189,507.261837
-554.25,64,507.696185
-1025.416667,111,508.450707
-1084.916667,117,509.23012
-115.0,20,509.367978
-125.0,21,509.511083
-115.0,20,509.652123
-165.5,25,509.826722
-114.25,20,509.963907
-104.833333,19,510.104937
-182.5,27,510.286277
-85.0,17,510.402199
-195.0,28,510.590228
-304.25,39,510.864767
-653.166667,74,511.367176
-256.0,34,511.603029
-1826.083333,189,512.863789
-82.166667,17,512.981427
-182.5,27,513.181451
-122.5,21,513.329369
-634.25,72,513.83042
-234.75,32,514.051457
-166.25,25,514.238246
-156.25,24,514.400386
-186.25,27,514.5831
-175.166667,26,514.760948
-56.25,14,514.860638
-216.083333,30,515.06364
-218.0,30,515.278918
-78.0,16,515.390136
-38.0,12,515.477623
-156.25,24,515.646768
-33.25,12,515.735273
-76.25,16,515.841552
-136.25,22,516.000145
-86.25,17,516.126322
-148.0,23,516.283072
-238.0,32,516.4971
-84.0,17,516.614403
-205.0,29,516.808986
-206.25,29,517.007632
-56.25,14,517.115777
-216.25,30,517.326511
-186.25,27,517.504389
-345.75,43,517.78972
-134.75,22,518.093901
-114.5,20,518.242118
-34.916667,12,518.334998
-236.25,32,518.54971
-126.25,21,518.693713
-126.916667,21,518.838149
-216.25,30,519.044081
-115.666667,20,519.190518
-73.916667,16,519.303539
-46.25,13,519.402975
-36.25,12,519.483113
-96.916667,18,519.608231
-66.25,15,519.712647
-175.25,26,519.893645
-134.5,22,520.040562
-144.75,23,520.215514
-204.25,29,520.408981
-255.583333,34,520.63936
-43.5,13,520.740257
-103.5,19,520.870497
-233.5,32,521.093714
-114.25,20,521.242106
-2705.25,279,523.099033
-1964.583333,205,524.508584
-624.916667,71,525.01809
-324.333333,41,525.345175
-864.5,95,526.014813
-1565.583333,165,527.157122
-195.333333,28,527.356366
-1214.75,130,528.252897
-792.5,87,528.860166
-1793.833333,188,530.160634
-616.75,70,530.641678
-403.5,47,530.967037
-783.166667,86,531.557094
-351.916667,44,531.86248
-536.666667,62,532.293205
-1076.666667,116,533.095837
-234.666667,32,533.325183
-165.333333,25,533.506445
-1836.666667,192,534.838546
-204.666667,29,535.035619
-42.0,13,535.141181
-354.083333,44,535.459958
-133.0,22,535.609048
-434.416667,52,535.980929
-344.666667,43,536.277377
-122.0,21,536.419886
-182.0,27,536.615527
-46.333333,13,536.716635
-152.0,24,536.886388
-182.0,27,537.072348
-204.833333,29,537.275221
-42.833333,13,537.376879
-152.166667,24,537.551727
-92.0,18,537.684863
-171.0,26,537.870155
-62.416667,15,537.981848
-152.0,24,538.151268
-244.666667,33,538.387707
-822.0,91,539.016779
-132.0,22,539.176171
-82.0,17,539.294081
-22.0,11,539.371542
-112.0,20,539.511845
-32.0,12,539.603889
-242.0,33,539.832324
-122.0,21,539.969445
-72.0,16,540.085714
-92.0,18,540.216349
-172.916667,26,540.397406
-51.0,14,540.499413
-122.0,21,540.658382
-141.416667,23,540.817835
-121.0,21,540.969188
-92.0,18,541.100432
-182.0,27,541.288826
-112.0,20,541.436867
-172.0,26,541.631198
-82.0,17,541.757779
-163.5,25,541.927477
-52.0,14,542.032676
-162.0,25,542.211232
-3447.25,352,544.60564
-1996.666667,207,546.021751
-112.0,20,546.172696
-12.0,10,546.24601
-192.0,28,546.439148
-96.166667,18,546.57032
-172.0,26,546.758323
-103.666667,19,546.898821
-74.666667,16,547.013337
-133.666667,22,547.166471
-124.666667,21,547.31857
-94.666667,18,547.442044
-194.416667,28,547.635886
-183.666667,27,547.83818
-54.666667,14,547.941401
-56.833333,14,548.039393
-83.666667,17,548.16384
-163.666667,25,548.33206
-214.666667,30,548.54377
-164.666667,25,548.73238
-204.666667,29,548.934054
-153.666667,24,549.098214
-104.666667,19,549.233804
-154.666667,24,549.393674
-24.916667,11,549.473559
-174.666667,26,549.651597
-24.666667,11,549.743522
-32.583333,11,549.820209
-94.666667,18,549.94833
-74.666667,16,550.059875
-505.666667,59,550.475373
-84.666667,17,550.592729
-93.666667,18,550.730195
-53.666667,14,550.828958
-254.75,34,551.069535
-74.666667,16,551.182169
-133.666667,22,551.350303
-94.666667,18,551.471643
-3.5,9,551.54215
-165.5,25,551.720813
-194.666667,28,551.92195
-92.833333,18,552.047617
-42.416667,13,552.144548
-134.666667,22,552.302554
-64.666667,15,552.405363
-74.666667,16,552.522022
-84.666667,17,552.647033
-84.666667,17,552.773716
-344.666667,43,553.086297
-84.666667,17,553.198635
-93.083333,18,553.325748
-104.833333,19,553.454015
-64.666667,15,553.56074
-194.666667,28,553.749433
-62.416667,14,553.866487
-1043.666667,113,554.656241
-103.666667,19,554.815141
-233.666667,32,555.057522
-84.666667,17,555.195081
-112.333333,19,555.331298
-104.666667,19,555.476388
-153.25,24,555.659748
-134.666667,22,555.846442
-244.666667,33,556.08124
-144.666667,23,556.249248
-1064.166667,115,557.036357
-664.75,75,557.534093
-54.916667,14,557.63191
-75.166667,16,557.741029
-443.833333,53,558.109105
-25.166667,11,558.192947
-85.166667,17,558.304343
-85.166667,17,558.422014
-75.25,16,558.532922
-125.166667,21,558.675538
-15.166667,10,558.748546
-55.166667,14,558.843012
-105.166667,19,558.981344
-175.166667,26,559.164299
-225.166667,31,559.368139
-25.166667,11,559.445315
4.833333,8,559.502756
-125.166667,21,559.656712
-144.5,23,559.812332
-694.583333,78,560.354273
-184.333333,27,560.530726
-163.333333,24,560.702405
-894.083333,98,561.383225
-126.416667,21,561.52444
-86.0,17,561.6488
-116.0,20,561.792913
-116.166667,20,561.942361
-96.0,18,562.069115
-106.0,19,562.206131
-106.0,19,562.339535
-16.0,10,562.41186
-136.0,22,562.567329
-302.166667,39,562.84914
-63.25,15,562.964201
-2002.583333,208,564.371077
-116.0,20,564.504223
-136.0,22,564.657167
-116.0,20,564.795231
-135.833333,22,564.953188
-126.0,21,565.10844
-44.083333,13,565.203037
-226.0,31,565.428133
-45.833333,13,565.515386
-196.0,28,565.710922
-106.0,19,565.844281
-86.0,17,565.966028
-186.0,27,566.161185
-176.25,26,566.34225
-126.25,21,566.485917
-116.25,20,566.628661
-123.25,20,566.768236
-93.25,17,566.886158
-126.25,21,567.033705
-146.666667,23,567.200523
-176.25,26,567.375999
-206.0,29,567.572518
-66.0,15,567.673661
-96.0,18,567.798532
-166.0,25,567.969105
-86.0,17,568.100082
-66.0,15,568.200545
-583.5,66,568.641629
-116.25,20,568.776604
-216.0,30,568.982139
-76.0,16,569.102869
-156.0,24,569.267581
-176.0,26,569.440604
-162.0,24,569.60693
-96.0,18,569.728345
-66.0,15,569.845477
-255.833333,34,570.085901
-902.0,99,570.753342
-312.75,40,571.024238
-164.0,25,571.208466
-1145.5,123,572.032014
-312.0,39,572.313824
-82.0,16,572.421123
-82.0,16,572.53359
-232.0,31,572.74099
-232.0,31,572.954733
-72.0,15,573.054729
-102.0,18,573.190924
-233.166667,32,573.409434
-52.0,13,573.500457
-152.0,23,573.65676
-32.0,11,573.745505
-122.0,20,573.883996
-52.0,13,573.97541
-32.0,11,574.050755
-212.166667,29,574.263555
-102.0,18,574.385181
-163.583333,25,574.558595
-62.0,14,574.653892
-22.0,10,574.728841
-112.0,19,574.861358
-122.0,20,575.000489
-62.0,14,575.104138
-172.0,25,575.291047
-173.0,26,575.471375
-92.0,17,575.593096
-982.25,107,576.318274
-102.666667,19,576.446593
-92.25,18,576.572551
-62.0,14,576.671501
-72.0,15,576.787456
-102.0,18,576.916487
-102.083333,19,577.052892
-142.0,22,577.217218
-252.0,33,577.440906
-42.0,12,577.526693
-232.0,31,577.746395
-72.0,15,577.84886
-81.0,17,577.966346
-161.0,25,578.144267
-181.75,27,578.339652
-101.0,19,578.47537
-131.0,22,578.630075
-151.0,24,578.798509
-251.0,34,579.029671
-82.916667,17,579.144928
-41.0,13,579.238804
-141.0,23,579.402565
-454.333333,54,579.767927
-121.0,21,579.912074
-81.0,17,580.027744
-141.0,23,580.195121
-71.0,16,580.318316
-161.0,25,580.485134
-131.0,22,580.632748
-81.0,17,580.895042
-81.0,17,581.011212
-95.583333,16,581.123301
-963.416667,105,581.855909
-101.0,19,581.994795
-82.0,16,582.109958
-112.0,19,582.247012
-152.0,23,582.412443
-82.0,16,582.52637
-262.0,34,582.772186
-82.0,16,582.881628
-92.0,17,582.999324
-72.0,15,583.108749
-112.0,19,583.244416
-3.0,8,583.311998
-84.0,17,583.429507
-91.0,18,583.555518
-425.666667,49,583.961766
-91.0,18,584.090467
-31.0,12,584.180179
-161.0,25,584.357422
-51.0,14,584.453609
-31.0,12,584.536854
-253.25,34,584.764833
-71.0,16,584.887746
-1545.416667,163,586.069222
-294.25,38,586.365458
-91.0,18,586.4875
-72.583333,15,586.599209
-131.583333,22,586.748455
-82.0,16,586.863054
-81.166667,17,586.981205
-101.0,19,587.120068
-201.0,29,587.316085
-51.0,14,587.426106
-143.583333,23,587.578829
-42.666667,12,587.669789
-191.0,28,587.859407
-281.0,37,588.105943
-113.333333,20,588.239884
-202.0,28,588.479136
-183.583333,27,588.824974
-82.0,16,589.044074
-52.0,13,589.218535
-112.0,19,589.483717
-105.083333,19,589.742417
-72.0,15,589.949168
-92.0,17,590.189424
-112.0,19,590.436521
-112.75,20,590.696032
-155.333333,24,590.88942
-182.666667,27,591.074235
-92.75,17,591.195397
-82.0,16,591.320252
-42.0,12,591.400721
-252.0,33,591.640499
-82.0,16,591.759573
-132.0,21,591.903937
-112.0,19,592.039207
-62.0,14,592.138097
-102.0,18,592.33701
-102.0,18,592.462379
-73.333333,15,592.57976
-82.0,16,592.698495
-155.166667,24,592.869885
-162.0,24,593.030439
-82.0,16,593.146515
-162.0,24,593.315165
-92.0,17,593.438885
-95.416667,18,593.572164
-80.0,16,593.683333
-70.0,15,593.787821
-140.0,22,593.952091
-169.5,25,594.126146
-110.0,19,594.257236
-70.0,15,594.364432
-130.0,21,594.512084
-150.0,23,594.686386
-177.666667,26,594.865802
-290.0,37,595.1243
-70.0,15,595.233863
-180.0,26,595.418592
-76.666667,16,595.532587
-220.0,30,595.751289
-105.0,19,595.897038
-98.333333,18,596.023523
-100.0,18,596.154907
-120.0,20,596.293085
-120.0,20,596.433295
-88.083333,17,596.558801
-110.0,19,596.700834
-130.0,21,596.844535
-89.333333,17,596.973691
-92.583333,18,597.101262
-110.0,19,597.233685
-160.0,24,597.41417
-189.25,27,597.613472
-220.0,30,597.829319
-30.0,11,597.912236
-90.0,17,598.029855
-180.0,26,598.214289
-50.0,13,598.31615
-176.666667,26,598.490133
-110.0,19,598.630617
-130.0,21,598.780606
-90.0,17,598.899649
-35.916667,12,598.980614
-70.0,15,599.087434
-80.0,16,599.20424
-159.25,24,599.368228
-116.0,20,599.579657
-145.333333,23,599.74722
-114.5,20,599.904871
-116.0,20,600.036594
-36.0,12,600.126204
-86.0,17,600.244407
-105.75,19,600.384556
-168.5,25,600.551596
-194.75,28,600.751538
-110.0,19,600.878621
-80.0,16,600.997407
-77.5,16,601.10695
3.0,8,601.161415
-110.0,19,601.298945
-34.75,12,601.388758
-45.416667,13,601.477597
-94.5,18,601.602633
-166.916667,25,601.779571
-170.0,25,601.95666
-150.0,23,602.11437
-30.0,11,602.197505
-100.0,18,602.316624
-250.0,33,602.536555
-78.0,16,602.642389
-64.333333,15,602.761287
-30.0,11,602.835532
-50.0,13,602.935625
-210.0,29,603.138483
-194.5,28,603.329604
-160.0,24,603.491598
-170.0,25,603.665253
-90.0,17,603.798335
-150.0,23,603.951735
-158.166667,24,604.118593
-66.0,15,604.227813
-25.5,11,604.303853
-66.0,15,604.411541
-246.0,33,604.636396
-36.0,12,604.724898
-86.0,17,604.86371
-166.0,25,605.054289
-166.0,25,605.242025
-76.0,16,605.361335
-66.0,15,605.466373
-120.0,20,605.605038
-149.5,23,605.76955
-90.0,17,605.895888
-150.0,23,606.056109
-130.0,21,606.203213
-130.0,21,606.34688
-49.0,13,606.440293
-96.0,18,606.62691
-224.0,31,606.854736
-126.0,21,606.99157
-86.0,17,607.122185
-135.0,22,607.265881
-96.0,18,607.398427
-56.0,14,607.491677
-116.0,20,607.634419
-226.0,31,607.850604
-156.0,24,608.009754
-106.0,19,608.142597
-96.0,18,608.272487
-126.0,21,608.420566
-145.916667,23,608.581408
-116.0,20,608.716614
-110.0,19,608.858711
-108.333333,19,608.991369
-80.0,16,609.10218
-90.0,17,609.222735
-85.833333,17,609.346909
-87.666667,17,609.467347
-108.5,19,609.601083
-140.0,22,609.760179
-42.0,13,609.865933
-140.0,22,610.014898
-170.0,25,610.195692
-120.0,20,610.332659
-110.0,19,610.463749
-70.0,15,610.572495
-120.0,20,610.712923
-66.5,15,610.821741
-96.0,18,610.959791
-86.0,17,611.082557
-26.0,11,611.156721
-136.0,22,611.310935
-166.833333,25,611.479334
-156.0,24,611.645258
-166.0,25,611.81941
-210.0,29,612.044884
-65.333333,15,612.154047
-50.0,13,612.247483
-110.0,19,612.387317
-114.5,20,612.52817
-108.833333,19,612.667452
-120.0,20,612.811885
-200.0,28,613.01308
-70.0,15,613.118236
-80.0,16,613.23351
-80.0,16,613.353419
-170.0,25,613.517041
-204.5,29,613.782843
-306.25,39,614.051267
-109.0,19,614.1798
-22.0,10,614.245318
-42.0,12,614.336147
-73.416667,14,614.439316
-122.0,20,614.592283
-112.0,19,614.730892
-102.0,18,614.856993
-76.0,16,614.983665
-186.0,27,615.169285
-116.0,20,615.309055
-86.5,17,615.431305
-176.0,26,615.633529
-66.0,15,615.75489
-66.0,15,615.883631
-83.333333,17,616.025935
-56.0,14,616.149086
-66.0,15,616.269387
-112.583333,20,616.421138
-165.583333,25,616.610409
-106.0,19,616.746399
-146.0,23,616.90782
-116.0,20,617.058846
-106.0,19,617.195327
-26.0,11,617.280323
-76.0,16,617.392036
-120.0,20,617.528573
-78.25,16,617.637213
-90.0,17,617.763644
-167.25,25,617.929928
-70.0,15,618.048001
-70.0,15,618.154543
-186.5,27,618.351707
-79.083333,16,618.461617
-125.416667,21,618.610482
-60.0,14,618.704247
-80.0,16,618.822456
-160.0,24,618.984686
-70.0,15,619.108837
-120.0,20,619.246476
-40.0,12,619.336606
-40.0,12,619.419444
-70.0,15,619.52074
-105.5,19,619.653336
-100.0,18,619.783457
-37.666667,12,619.874148
-83.0,17,619.988139
-80.0,16,620.116939
-80.0,16,620.233351
-70.0,15,620.342661
-110.0,19,620.482914
-105.5,19,620.611934
-158.0,24,620.781893
-155.833333,24,620.94581
-70.0,15,621.118385
-60.0,14,621.222359
-116.0,20,621.364372
-105.583333,19,621.499455
-16.0,10,621.566878
-164.75,25,621.746067
-136.416667,22,621.902395
-196.0,28,622.106529
-76.0,16,622.214788
-180.0,26,622.394438
-214.75,30,622.598432
-40.0,12,622.67781
-90.0,17,622.789573
-110.0,19,622.92863
-180.0,26,623.117047
-195.833333,28,623.313025
-130.0,21,623.462237
-80.0,16,623.584338
-190.0,27,623.766065
-170.0,25,623.953681
-100.0,18,624.079254
-16.0,10,624.166332
-50.0,13,624.263904
-42.583333,13,624.363606
-69.083333,15,624.470917
-50.0,13,624.560742
0.0,8,624.625093
-20.0,10,624.70315
-126.0,21,624.851059
-170.0,25,625.021
-70.0,15,625.141392
-38.333333,12,625.225232
-90.0,17,625.348635
-160.0,24,625.51776
-40.0,12,625.612875
-80.0,16,625.726143
-120.0,20,625.872793
-160.0,24,626.042308
-127.166667,21,626.200206
-110.0,19,626.33322
-154.916667,24,626.49938
-48.5,13,626.598379
-66.0,15,626.706643
-85.75,17,626.831572
-246.0,33,627.06549
-135.666667,22,627.220865
-143.333333,23,627.382195
-107.0,19,627.513583
-156.0,24,627.682881
-23.5,9,627.74392
-95.25,18,627.877168
-167.083333,25,628.052809
-66.0,15,628.16407
-116.0,20,628.377485
-136.0,22,628.537197
-65.166667,15,628.646332
-36.0,12,628.731897
-116.0,20,628.875922
-136.0,22,629.031829
-166.0,25,629.211561
-106.0,19,629.344543
-16.0,10,629.414068
-66.0,15,629.524683
