#{"t_start": 1669313944.8602297, "env_id": null}
r,l,t
-185.428546,27,561.752353
-135.675842,22,561.901165
-335.501747,42,562.187677
-945.292079,103,562.887886
-84.831059,27,563.069485
-325.454536,51,563.40891
-1555.344514,164,564.485278
-876.640376,105,565.216053
-195.888126,28,565.418373
-145.907978,23,565.574927
-215.30687,30,565.787274
-145.321528,23,565.943853
-205.20148,29,566.139049
-225.340644,31,566.342307
-185.195429,27,566.525551
-135.518778,32,566.748677
-75.16209,16,566.857855
-165.164002,25,567.028203
-115.982067,20,567.166684
-335.227597,42,567.448128
-105.492394,19,567.579461
-875.856685,96,568.236757
-215.591718,30,568.435097
-155.165986,24,568.59956
-115.145265,20,568.747912
-85.278374,17,568.865435
-245.279864,33,569.087253
-125.60288,21,569.235572
-35.916126,11,569.312772
-205.078058,29,569.505236
-185.148381,27,569.688453
-195.163622,28,569.878938
-175.273742,26,570.061335
-215.272227,30,570.260372
-215.15916,30,570.46585
-185.1451,27,570.645377
-135.413797,32,570.875736
-235.229434,32,571.088182
-165.341299,25,571.258768
-175.866806,26,571.442118
-65.360642,15,571.549065
-225.086399,31,571.76316
-95.625298,18,571.88238
-55.113026,14,571.982679
-215.215555,30,572.191597
-45.327622,13,572.281436
-225.285569,31,572.498904
-206.007827,29,572.695613
-175.194517,26,572.890673
-235.414515,32,573.109156
-185.567674,37,573.352759
-136.608544,21,573.496179
-165.09863,25,573.66549
-215.306839,30,573.862333
-275.289984,36,574.100524
-355.928134,44,574.389818
-175.271968,26,574.576977
-215.091972,30,574.780409
-275.856969,36,575.028073
-245.082001,33,575.252337
-125.567478,21,575.396113
-165.355834,25,575.567063
-125.728172,21,575.718819
-165.420803,25,575.900463
-65.501063,25,576.137861
-85.901555,17,576.254593
-255.913418,34,576.483964
-405.375703,49,576.809196
-145.896918,23,576.984356
-1056.045725,114,577.735716
-165.758222,25,577.904073
-45.424228,13,577.996917
-256.170389,34,578.221366
-125.469859,21,578.372026
-175.994544,26,578.543316
-135.269467,22,578.689823
-55.492427,14,578.794348
-125.743298,21,578.939661
-85.535997,17,579.057085
-165.744063,25,579.222513
-285.351309,37,579.467163
-195.564177,28,579.645981
-385.948267,47,579.965846
-166.045462,25,580.126786
-86.142427,17,580.24304
-215.838313,30,580.441345
-275.472612,36,580.688226
-366.367457,45,580.991803
-165.695652,25,581.162931
-105.635475,19,581.295306
-175.584125,26,581.47499
-185.578972,27,581.653393
-145.903078,23,581.811626
4.061297,18,581.94255
-65.586445,15,582.047869
-145.7597,23,582.201874
-315.794887,40,582.467525
-175.878995,26,582.642605
-85.957364,17,582.762812
-1136.384486,122,583.635215
-66.021067,15,583.745195
-145.753948,23,583.908782
-145.833125,23,584.070268
-275.996182,36,584.318625
-245.838755,33,584.542856
-135.7731,22,584.689533
-195.554013,28,584.884208
-135.596546,22,585.043476
-175.767108,26,585.222953
-135.535088,22,585.372423
-145.782557,23,585.529284
-355.472034,44,585.83165
54.17682,12,585.919461
-235.602978,32,586.137108
-125.595627,21,586.284636
-65.651856,15,586.393462
-235.4711,32,586.610174
-265.660135,35,586.847912
-745.612472,83,587.413456
-235.301618,32,587.62776
-125.477951,21,587.771267
-325.376485,41,588.058694
-145.399178,23,588.208918
-195.395644,28,588.400719
-116.277326,20,588.54274
-35.307344,12,588.631274
-145.53097,23,588.797133
-105.508553,19,588.926376
-195.377508,28,589.122558
-155.561358,24,589.28817
-166.241726,25,589.456399
-125.704956,21,589.603884
-115.977433,20,589.747511
-85.755046,27,590.001504
-66.126086,24,590.168662
-275.666965,36,590.404928
-265.540914,35,590.643062
-95.293471,18,590.769062
-275.496002,36,591.010299
-295.643887,38,591.275407
-145.632425,23,591.43055
-165.78735,25,591.604142
-75.650152,16,591.720347
-25.671787,11,591.795451
-105.428889,19,591.934865
-145.996116,23,592.091988
-46.113781,13,592.190426
-105.619509,19,592.326293
-205.643086,29,592.52521
-145.52152,23,592.681381
-75.425488,16,592.797739
-225.567373,31,593.015501
-235.518449,32,593.243974
-305.439086,39,593.571283
-86.095918,17,593.684103
-155.819679,24,593.850299
-105.44885,19,593.981187
-35.870956,21,594.136223
-175.731295,26,594.315749
-105.629678,19,594.447387
-276.15253,36,594.688192
-125.557112,21,594.828679
-16.448166,18,594.968147
-235.83063,32,595.197151
-125.803894,21,595.343123
