#{"t_start": 1667320887.616259, "env_id": null}
r,l,t
-214.663191,30,436.042221
-340,34,436.287727
-311.738805,40,436.562483
-134.608163,22,436.71304
-256.318965,31,436.92684
-296.841153,34,437.167233
-890,89,437.782924
-113.803371,20,437.920055
-253.727005,33,438.157201
-300,30,438.359992
-258.02185,29,438.549075
-236.039991,29,438.748864
-230,23,438.900517
-237.43064,29,439.115027
-260,26,439.288078
-314.513673,38,439.562034
-276.279462,33,439.779682
-210,21,439.924017
-519.263793,53,440.287019
-270,27,440.477644
-448.397259,47,440.791636
-182.694814,27,440.982753
-270,27,441.177095
-286.002915,34,441.409153
-390,39,441.672386
-295.654672,36,441.920277
-457.750276,50,442.270496
-370,37,442.525062
-420,42,442.811398
-260,26,443.002806
-470,47,443.337989
-180,18,443.462415
-200,20,443.676787
-236.407137,28,444.040488
-430,43,444.601527
-300,30,445.002374
-430,43,445.605595
-224.290731,30,446.010391
-465.97447,53,446.432939
-330,33,446.671746
-286.437486,34,446.903883
-244.360615,33,447.12999
-234.371591,32,447.372678
-253.82637,34,447.603607
-164.324028,25,447.775494
-295.43828,38,448.040394
-254.301436,34,448.303193
-213.058918,30,448.517285
-263.742596,35,448.750897
-174.429403,26,448.931068
-214.282021,30,449.136107
-64.360812,15,449.243461
-154.30676,24,449.432085
-154.358917,24,449.600346
-364.321597,45,449.896109
-214.280144,30,450.103132
-694.353058,78,450.632897
-224.149607,31,450.858624
-214.393179,30,451.056981
-124.223052,21,451.201342
-114.344885,20,451.34447
-153.856913,24,451.511702
-143.247258,23,451.669534
-172.188085,26,451.851857
-174.307917,26,452.028493
-272.134174,36,452.277348
-254.408041,34,452.511675
-424.344298,51,452.914492
-232.59104,31,453.120479
-244.304572,33,453.357144
-144.006979,23,453.519392
-173.721103,26,453.695429
-233.999498,32,453.911345
-334.372671,42,454.36443
-352.738949,43,454.652468
-124.287359,21,454.807852
-244.292317,33,455.041358
-182.820346,26,455.226915
-263.859477,35,455.494308
-133.577682,22,455.648464
-224.354692,31,455.862303
-124.28323,21,456.013739
-132.603525,22,456.163016
-243.788349,33,456.398525
-124.363024,21,456.547419
-104.344126,19,456.682849
-173.991449,26,456.856785
-174.299507,26,457.03836
-253.994568,34,457.281863
-213.418925,28,457.482352
-274.517558,36,457.730718
-184.350635,27,457.909037
-333.110708,41,458.188101
-263.518499,35,458.441404
-142.383261,23,458.59122
-314.313942,40,458.875159
-304.281755,39,459.135062
-174.278152,26,459.335183
-194.340315,28,459.557256
-232.35789,32,459.770109
-174.397611,26,460.011464
-224.145775,31,460.232598
-134.72865,22,460.383712
-334.325552,42,460.694276
